District,Upazila,Months,WS,Temp,Dew,RH,Rain,SP,Non-Flood,Flooded,SW,SW2,SW3
Sylhet,Balaganj,May,1.577096774,29.98967742,22.49677419,66.50483871,6.243870968,100.0432258,5120.39,13153.8,,8.35,8.74
Sylhet,Beani Bazar,May,1.722903226,29.12774194,22.14967742,67.96548387,7.188064516,99.18064516,11505.35,15282.89,,8.35,8.74
Sylhet,Bishwambarpur,May,1.736451613,29.91258065,22.04516129,65.02322581,5.174193548,99.49741935,10192.45,9983.17,,8.35,8.74
Sylhet,Dakshin Surma,May,2.100322581,30.18967742,22.83064516,67.15451613,7.256129032,100.2683871,10702.75,10303.51,,8.35,8.74
Sylhet,Dharampasha,May,1.736451613,29.91258065,22.04516129,65.02322581,5.174193548,99.49741935,2613.3,25817,,8.35,8.74
Sylhet,Golabganj,May,1.722903226,29.12774194,22.14967742,67.96548387,7.188064516,99.18064516,15400.73,14343.24,,8.35,8.74
Sylhet,Gowainghat,May,1.722903226,29.12774194,22.14967742,67.96548387,7.188064516,99.18064516,16064.04,35325.31,8.74,8.35,8.74
Sylhet,Jaintiapur,May,1.722903226,29.12774194,22.14967742,67.96548387,7.188064516,99.18064516,14972.94,14911.44,,8.35,9.23
Sylhet,Jamalganj,May,1.736451613,29.91258065,22.04516129,65.02322581,5.174193548,99.49741935,3780.44,30503.74,,8.35,9.23
Sylhet,Madhyanagar,May,2.41483871,30.78935484,22.76387097,65.03774194,4.130645161,100.2029032,2676.2,19824.06,,8.35,9.23
Sylhet,Sylhet Sadar,May,1.722903226,29.12774194,22.14967742,67.96548387,7.188064516,99.18064516,18920.41,15217.89,9.23,8.35,9.23
Sylhet,Tahirpur,May,1.736451613,29.91258065,22.04516129,65.02322581,5.174193548,99.49741935,7066.44,24318.76,,8.35,9.23
Sylhet,Zakiganj,May,1.231612903,27.63645161,21.89258065,73.37129032,9.365806452,97.55870968,10878.13,17687.98,,8.35,9.23
Sunamganj,Bishwanath,May,1.722903226,29.12774194,22.14967742,67.96548387,7.188064516,99.18064516,8585.01,14542.1,,8.35,5.93
Sunamganj,Chhatak,May,1.722903226,29.12774194,22.14967742,67.96548387,7.188064516,99.18064516,9867.49,36874.28,,8.35,5.93
Sunamganj,Companiganj,May,1.722903226,29.12774194,22.14967742,67.96548387,7.188064516,99.18064516,4839,22457.26,,8.35,5.93
Sunamganj,Dakshin Sunamganj,May,1.736451613,29.91258065,22.04516129,65.02322581,5.174193548,99.49741935,3225.39,30051.85,,8.35,5.93
Sunamganj,Derai,May,1.736451613,29.91258065,22.04516129,65.02322581,5.174193548,99.49741935,4480.41,38962.44,5.93,8.35,5.93
Sunamganj,Dowarabazar,May,1.736451613,29.91258065,22.04516129,65.02322581,5.174193548,99.49741935,15730.68,15605.61,,8.35,11.2
Sunamganj,Fenchuganj,May,1.577096774,29.98967742,22.49677419,66.50483871,6.243870968,100.0432258,5736.31,6429.34,,8.35,11.2
Sunamganj,Jagannathpur,May,1.736451613,29.91258065,22.04516129,65.02322581,5.174193548,99.49741935,10565.59,29706.46,,8.35,11.2
Sunamganj,Kanaighat,May,1.231612903,27.63645161,21.89258065,73.37129032,9.365806452,97.55870968,14752.27,28771.79,11.2,8.35,11.2
Sunamganj,Osmaninagar,May,1.577096774,29.98967742,22.49677419,66.50483871,6.243870968,100.0432258,9843.26,13550.16,,8.35,6.65
Sunamganj,Sulla,May,2.100322581,30.18967742,22.83064516,67.15451613,7.256129032,100.2683871,1726.21,25967.72,,8.35,6.65
Sunamganj,Sunamganj Sadar,May,1.736451613,29.91258065,22.04516129,65.02322581,5.174193548,99.49741935,8913.57,20819.39,6.65,8.35,6.65
Sylhet,Balaganj,June,2.421818182,29.39318182,23.97409091,74.41136364,6.409090909,99.94681818,4848.57,13425.62,,10.57,10.46
Sylhet,Beani Bazar,June,2.565,28.47318182,23.97636364,77.92863636,7.405454545,99.06954545,11512.93,15275.31,,10.57,10.46
Sylhet,Bishwambarpur,June,2.564545455,28.695,24.36,78.82681818,8.215454545,99.38818182,6822.19,13353.43,,10.57,10.46
Sylhet,Dakshin Surma,June,3.303636364,29.26954545,24.56409091,77.38636364,7.389090909,100.1622727,9519.09,11487.17,,10.57,10.46
Sylhet,Dharampasha,June,2.564545455,28.695,24.36,78.82681818,8.215454545,99.38818182,3522.29,24908.01,,10.57,10.46
Sylhet,Golabganj,June,2.565,28.47318182,23.97636364,77.92863636,7.405454545,99.06954545,14158.67,15585.3,,10.57,10.46
Sylhet,Gowainghat,June,2.565,28.47318182,23.97636364,77.92863636,7.405454545,99.06954545,12086.48,39302.87,10.46,10.57,10.46
Sylhet,Jaintiapur,June,2.565,28.47318182,23.97636364,77.92863636,7.405454545,99.06954545,11246.22,18638.16,,10.57,11.7
Sylhet,Jamalganj,June,2.564545455,28.695,24.36,78.82681818,8.215454545,99.38818182,1762.63,32521.55,,10.57,11.7
Sylhet,Madhyanagar,June,3.462727273,29.78772727,24.60863636,75.56272727,6.045454545,100.1018182,5217.26,17283,,10.57,11.7
Sylhet,Sylhet Sadar,June,2.565,28.47318182,23.97636364,77.92863636,7.405454545,99.06954545,17668.96,16469.34,11.7,10.57,11.7
Sylhet,Tahirpur,June,2.564545455,28.695,24.36,78.82681818,8.215454545,99.38818182,4308.27,27076.93,,10.57,11.7
Sylhet,Zakiganj,June,1.648181818,27.30454545,23.39090909,80.79681818,9.203181818,97.44954545,11084.26,17481.85,,10.57,11.7
Sunamganj,Bishwanath,June,2.565,28.47318182,23.97636364,77.92863636,7.405454545,99.06954545,7439.74,15687.37,,10.57,7.65
Sunamganj,Chhatak,June,2.565,28.47318182,23.97636364,77.92863636,7.405454545,99.06954545,9001.86,37739.91,,10.57,7.65
Sunamganj,Companiganj,June,2.565,28.47318182,23.97636364,77.92863636,7.405454545,99.06954545,4048.43,23247.83,,10.57,7.65
Sunamganj,Dakshin Sunamganj,June,2.564545455,28.695,24.36,78.82681818,8.215454545,99.38818182,2532.44,30744.8,,10.57,7.65
Sunamganj,Derai,June,2.564545455,28.695,24.36,78.82681818,8.215454545,99.38818182,3090.07,40352.78,7.65,10.57,7.65
Sunamganj,Dowarabazar,June,2.564545455,28.695,24.36,78.82681818,8.215454545,99.38818182,10345.48,20990.81,,10.57,14.39
Sunamganj,Fenchuganj,June,2.421818182,29.39318182,23.97409091,74.41136364,6.409090909,99.94681818,5350.77,6814.88,,10.57,14.39
Sunamganj,Jagannathpur,June,2.564545455,28.695,24.36,78.82681818,8.215454545,99.38818182,8678.73,31593.32,,10.57,14.39
Sunamganj,Kanaighat,June,1.648181818,27.30454545,23.39090909,80.79681818,9.203181818,97.44954545,12894.82,30629.24,14.39,10.57,14.39
Sunamganj,Osmaninagar,June,2.421818182,29.39318182,23.97409091,74.41136364,6.409090909,99.94681818,8975.79,14417.63,,10.57,8.64
Sunamganj,Sulla,June,3.303636364,29.26954545,24.56409091,77.38636364,7.389090909,100.1622727,1233.4,26460.53,,10.57,8.64
Sunamganj,Sunamganj Sadar,June,2.564545455,28.695,24.36,78.82681818,8.215454545,99.38818182,6639.59,23093.37,8.64,10.57,8.64
